label,text
0,добрый день подскажите режим работы отделения
0,спасибо за консультацию по вкладу всё понятно
0,когда будет готова справка для работодателя
0,хочу уточнить остаток по дебетовой карте
0,записался на приём к менеджеру в пятницу
0,перевод родственнику прошёл успешно спасибо
0,как подключить мобильный банк на новый телефон
0,нужна выписка за последние три месяца
0,подтвердите адрес доставки корреспонденции
0,вопрос по ипотечной ставке для зарплатного клиента
0,обновил паспортные данные в отделении вчера
0,где посмотреть начисленные проценты по накопительному счёту
0,не приходит смс код для входа в приложение
0,хочу закрыть неиспользуемую кредитную карту
0,подскажите ближайшее отделение с обменом валюты
0,как оспорить комиссию за обслуживание пакета
0,заявка на рефинансирование в обработке верно
0,нужен чек по операции от 12 мая
0,можно ли изменить дату платежа по кредиту
0,спасибо менеджеру за помощь с оформлением
0,проверьте пожалуйста статус перевода в другой банк
0,как получить налоговый вычет через приложение
0,вопрос по страховке к ипотеке
0,хочу открыть накопительный счёт для ребёнка
0,не вижу начисление кэшбэка за апрель
0,вышел первый тизер новой части популярного мультфильма
0,сборная команды одержала победу в вечернем матче
0,синоптики обещают тёплую и солнечную погоду на выходных
0,в городе открыли новую станцию метро после реконструкции
0,блогерше предъявили обвинение по уголовному делу
0,учёные представили нового робота на технологической выставке
0,концерт известной группы перенесли на следующий месяц
0,совет директоров компании одобрил годовой отчёт
0,в кинотеатрах стартовал прокат долгожданного фильма
0,власти анонсировали ремонт дорог в центре города
0,новая модель смартфона поступит в продажу осенью
0,фестиваль уличной еды соберёт гостей в эти выходные
0,спортсмен установил новый рекорд на соревнованиях
0,музей открыл выставку современного искусства
0,компания запустила обновлённое мобильное приложение
0,в зоопарке родился детёныш редкого животного
0,университет объявил набор на новые программы обучения
0,погода завтра без осадков ветер слабый
0,магазин объявил сезонную распродажу зимней одежды
0,актёр рассказал о съёмках в новом сериале
0,городская администрация открыла новый парк для прогулок
0,производитель электромобилей показал концепт будущего
0,объявлены номинанты престижной кинопремии этого года
0,специалисты обсудили развитие искусственного интеллекта
0,местные жители провели субботник в районе набережной
0,новый рейс соединит два крупных города этим летом
0,команда разработчиков выпустила крупное обновление игры
0,доброе утро отличного всем настроения и продуктивного дня
0,подскажите хороший рецепт пирога с яблоками
0,посоветуйте интересную книгу на выходные
0,сегодня отличная пробежка в парке десять километров
0,поздравляю всех с наступающим праздником здоровья и счастья
0,напоминаем расписание занятий на следующую неделю
0,в субботу состоится ярмарка местных фермеров
1,срочно кредит без справок звоните сейчас
1,бесплатный займ под ноль процентов только сегодня
1,ваш счёт заблокирован срочно переведите комиссию
1,выигрыш миллион рублей перевод налога на карту
1,срочно кредит займ паспорт налог перевод комиссия
1,мошенники украли доступ восстановите по ссылке https://scam.ru
1,срочно верните переплату по займу на указанный счёт
1,бесплатно кредитная карта лимит миллион оформите сейчас
1,ваш паспорт используют мошенники срочно подтвердите данные
1,перевод комиссии для разблокировки счёта немедленно
1,срочно займ до зарплаты без отказа звоните 8999
1,кредит без проверки ки срочно оформление онлайн
1,выигрыш в лотерее переведите налог 15 процентов
1,блокировка счёта подтвердите по ссылке www.evil.ru
1,срочно кредит рефинансирование без документов сегодня
1,возврат переплаты срочно укажите карту получателя
1,бесплатный перевод выигрыша комиссия банка 5000
1,мошенник оформил кредит на ваше имя срочно звоните
1,займ под ноль процентов срочно до конца дня
1,паспортные данные скомпрометированы срочно обновите онлайн
1,срочно кредит наличными без визита в банк
1,перевод для разблокировки лимита срочно выполните
1,бесплатно страховка выигрыша оплатите комиссию
1,ваш счёт арестован срочно свяжитесь по телефону
1,кредит на погашение долгов срочно одобрение за час
1,поздравляем вы выиграли автомобиль переведите комиссию за доставку
1,внимание ваша карта заблокирована перейдите по ссылке для разблокировки
1,инвестируйте сейчас гарантированный доход 300 процентов в месяц
1,служба безопасности банка зафиксирована попытка списания назовите код из смс
1,вам положена выплата от государства срочно введите данные карты
1,переведите зарплату на наш счёт и участвуйте в розыгрыше призов
1,уникальная возможность заработок без вложений пишите в личные сообщения
1,ваш номер выиграл в розыгрыше для получения приза оплатите налог
1,срочное сообщение от банка подтвердите перевод иначе счёт будет закрыт
1,закрытый клуб инвесторов удвоим ваш депозит за неделю гарантия
1,ваша посылка задержана оплатите таможенный сбор по ссылке
1,вы стали миллионным посетителем заберите приз введите реквизиты карты
1,горячая вакансия доход от ста тысяч в день предоплата за обучение
1,официальная выплата компенсации обманутым вкладчикам введите cvv код карты
1,продаю базу данных клиентов банка недорого пишите в личку
