source,user_id,raw_text,url
telegram,user_demo_01,спасибо за консультацию по вкладу всё понятно,
vk,user_demo_03,хочу уточнить остаток по дебетовой карте,
telegram,user_demo_05,перевод родственнику прошёл успешно спасибо,
telegram,user_demo_07,сбер запустил розыгрыш автомобиля для зарплатных клиентов,
vk,user_demo_08,новая дебетовая карта с кэшбэком до 5 процентов оформите в приложении,
telegram,user_demo_09,цб сохранил ключевую ставку на уровне 16 процентов годовых,
telegram,user_demo_02,нужны люди удалённая деятельность от 20 лет доход от 250 долларов в день пишите в личку,https://t.me/scamjob
vk,user_demo_04,ваш счёт заблокирован срочно переведите комиссию для разблокировки по ссылке,https://scam.example/unblock
telegram,user_demo_06,инвестируй сейчас гарантированный доход 300 процентов в месяц без вложений пиши в лс,
vk,user_demo_10,мошенники оформили кредит на ваше имя срочно позвоните по номеру +7 (999) 111-22-33,
telegram,user_demo_11,предлагаю пассивный заработок дистанционно хорошая прибыльность все детали в сообщениях,
vk,user_demo_12,поздравляем вы выиграли приз оплатите налог на карту для получения +7 (999) 222-33-44,
